name,address,city,province,region,services,hours,phone,lat,lon,source,osm_id
Flying V – 18 de Julio Street,18 de Julio Street,,,luzon,"Gasoline, Diesel",,,10.2432134,123.7964429,osm,way/1154274617
"Flying V – A. Soriano, Jr. Avenue","A. Soriano, Jr. Avenue",,,luzon,"Gasoline, Diesel",,,10.3079509,123.9111081,osm,way/315562321
Flying V – A. del Rosario Street,A. del Rosario Street,,,luzon,"Gasoline, Diesel",,,10.3295582,123.9395603,osm,way/904347676
Flying V – Aklan West Road,Aklan West Road,,,luzon,"Gasoline, Diesel",,,11.9306188,121.9520373,osm,way/804577421
Flying V – Antique-Aklan Road,Antique-Aklan Road,,,luzon,"Gasoline, Diesel",,,11.4778253,122.0759046,osm,way/498878398
Flying V – Antique-Aklan Road,Antique-Aklan Road,,,luzon,"Gasoline, Diesel",,,11.2311034,122.0570553,osm,way/1394069163
Flying V – Apalit-Macabebe Road,Apalit-Macabebe Road,,,luzon,"Gasoline, Diesel",,,14.9437846,120.7424248,osm,relation/19179043
Flying V – Argonaut Highway,Argonaut Highway,,,luzon,"Gasoline, Diesel",,,14.8110695,120.2972849,osm,way/672149883
Flying V – Aurora Boulevard,Aurora Boulevard,,,luzon,"Gasoline, Diesel",,,14.6251249,121.0580235,osm,way/263314302
Flying V – Bacayan - Pit-os Road,Bacayan - Pit-os Road,,,luzon,"Gasoline, Diesel",,,10.3960752,123.921827,osm,way/1315901113
Flying V – Bagumbong Road,Bagumbong Road,,,luzon,"Gasoline, Diesel",,,14.7523598,121.0174443,osm,way/1085874849
Flying V – Bancal-Leon Road,Bancal-Leon Road,,,luzon,"Gasoline, Diesel",,,10.7725527,122.3910439,osm,node/4893712728
Flying V – Barotac Nuevo-Dumangas-Dacutan Wharf Road,Barotac Nuevo-Dumangas-Dacutan Wharf Road,,,luzon,"Gasoline, Diesel",,,10.8189726,122.7008128,osm,way/675334743
Flying V – Batangas,Batangas,,Batangas,luzon,"Gasoline, Diesel",,,14.0519498,120.9332286,osm,way/465133937
Flying V – Benigno S. Aquino Avenue,Benigno S. Aquino Avenue,,,luzon,"Gasoline, Diesel",,,10.8285127,122.5262778,osm,way/170197129
Flying V – Burgos Street,Burgos Street,,,luzon,"Gasoline, Diesel",,,10.6722282,122.9485045,osm,way/1387517983
Flying V – Butuan – Cagayan de Oro – Iligan Road,Butuan – Cagayan de Oro – Iligan Road,,,luzon,"Gasoline, Diesel",,,8.5850566,124.7706364,osm,way/1054616594
Flying V – Cagayan Valley Road,Cagayan Valley Road,,,luzon,"Gasoline, Diesel",,,15.1941676,120.9586223,osm,way/812691272
Flying V – Cagayan-Gingoog-Butuan National Highway,Cagayan-Gingoog-Butuan National Highway,,,luzon,"Gasoline, Diesel",,,8.5369567,124.7540431,osm,way/1054319766
Flying V – Calapan South Road,Calapan South Road,,,luzon,"Gasoline, Diesel",,,13.0252379,121.4799349,osm,way/1424743792
Flying V – Camalig Road,Camalig Road,,,luzon,"Gasoline, Diesel",,,14.7675075,121.0071656,osm,way/810660939
Flying V – Cansaga - Tayud Road,Cansaga - Tayud Road,,,luzon,"Gasoline, Diesel",,,10.3678516,123.9860089,osm,way/1249362267
Flying V – Carlos Street,Carlos Street,,,luzon,"Gasoline, Diesel",,,14.7025519,121.0435086,osm,way/795077643
Flying V – Carmona Avenue,Carmona Avenue,,,luzon,"Gasoline, Diesel",,,8.9869078,125.3400512,osm,way/1326186760
Flying V – Colon Street,Colon Street,,,luzon,"Gasoline, Diesel",,,8.3707179,126.3334667,osm,way/736421635
Flying V – Davao-Cotabato National Highway,Davao-Cotabato National Highway,,,luzon,"Gasoline, Diesel",,,7.2764574,124.4225046,osm,way/313357344
Flying V – Doctor T.S. Kintanar Street,Doctor T.S. Kintanar Street,,,luzon,"Gasoline, Diesel",,,9.8819049,123.6030371,osm,way/1044427856
Flying V – Don Abella Drive,Don Abella Drive,,,luzon,"Gasoline, Diesel",,,13.5915789,122.3289615,osm,way/752089012
Flying V – East Service Road,East Service Road,,,luzon,"Gasoline, Diesel",,,14.7226971,120.9854915,osm,way/934315124
Flying V – Elisco Road,Elisco Road,,,luzon,"Gasoline, Diesel",,,14.5510078,121.0812131,osm,way/346124886
Flying V – F. Gorriceta Avenue,F. Gorriceta Avenue,,,luzon,"Gasoline, Diesel",,,10.744241,122.5161705,osm,way/1391091885
Flying V – Feeder Road 1,Feeder Road 1,,,luzon,"Gasoline, Diesel",,,7.522819,125.6282199,osm,node/10100124817
Flying V – Felix Y. Manalo Street,Felix Y. Manalo Street,,,luzon,"Gasoline, Diesel",,,14.5298556,121.0768761,osm,way/555868881
Flying V – General Luis Street,General Luis Street,,,luzon,"Gasoline, Diesel",,,14.7218279,121.0317505,osm,way/1302437640
Flying V – General Luna,General Luna,,,luzon,"Gasoline, Diesel",05:00-19:00,,15.0655182,120.5481973,osm,way/852296856
"Flying V – Governor's Drive, Cavite","Governor's Drive, Cavite",,Cavite,luzon,"Gasoline, Diesel",,,14.3072951,120.7675497,osm,node/12553642669
Flying V – Guzman Street,Guzman Street,,,luzon,"RON 91, RON 95, Diesel",,,10.7370941,122.5191592,osm,way/1500778392
Flying V – Hagonoy-Paombong Road,Hagonoy-Paombong Road,,,luzon,"Gasoline, Diesel",,,14.8376061,120.7376188,osm,node/4754117722
"Flying V – Halsema Highway, Benguet","Halsema Highway, Benguet",,Benguet,luzon,"Gasoline, Diesel",,,16.462765,120.6018152,osm,relation/15795340
Flying V – Ilocos Sur,Ilocos Sur,,Ilocos Sur,luzon,"Gasoline, Diesel",,,17.6273369,120.398122,osm,way/470466714
"Flying V – Iloilo East Coast-Capiz Road, Capiz","Iloilo East Coast-Capiz Road, Capiz",,Capiz,luzon,"Gasoline, Diesel",,,11.4802546,122.834141,osm,node/12876780498
Flying V – J. Bernardo Street,J. Bernardo Street,,,luzon,"Gasoline, Diesel",,,14.8676802,120.9572373,osm,way/1427925814
Flying V – J. P. Rizal Street,J. P. Rizal Street,,,luzon,"Gasoline, Diesel",,,13.4024294,121.1722119,osm,way/1058061839
Flying V – J. Rosales Avenue,J. Rosales Avenue,,,luzon,"Gasoline, Diesel",,,8.9548288,125.5289993,osm,way/850024780
Flying V – Jose Abad Santos Avenue,Jose Abad Santos Avenue,,,luzon,"Gasoline, Diesel",05:00-21:00,,15.1390917,120.7729383,osm,way/230302494
Flying V – Jose Abad Santos Avenue,Jose Abad Santos Avenue,,,luzon,"Gasoline, Diesel",00:00-24:00,,15.0651364,120.7237413,osm,way/899726454
